,count,unique,top,freq,mean,std,min,25%,50%,75%,max
datetime,59160,59160,2019-01-01 0:00:00,1,,,,,,,
Coal,59160.0,,,,2692.13261712407,1135.0269307710628,113.0554966,1979.835517,2649.864084,3384.747225,6242.329491
Gas,59160.0,,,,38.66167152818669,65.63350201665763,0.0,0.0,0.09182265484,52.68857774,450.888473
Hydro,59160.0,,,,29.987276388400375,12.999660180856276,0.6,21.70077454,29.6171143,38.10321782,69.45684524
Solar,59160.0,,,,75.76333531674841,130.70566793653813,0.0,0.0,1.18e-15,107.1577805,574.8542604
Wind,59160.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewables,59160.0,,,,150.84085435075013,76.29137220218023,40.77946895,87.60751457,136.5421496,199.0915065,420.012102
Demand_MWh,59160.0,,,,2836.544900361383,1145.661117261852,152.2179966,2069.43508,2790.5657410000003,3619.852299,6271.173987
Hour column,59162.0,,,,11.499611236942632,6.92245096981751,0.0,5.0,11.0,17.0,23.0
Is_Weekend,59162,2,False,42264,,,,,,,
Solar Availability Flag,59162,2,False,29582,,,,,,,
Ramp Rate (change in demand),59159.0,,,,0.004010925016462595,19.79477642512462,-166.6631322,-6.619048384,1.936890998,9.824734302,40.84456866
