,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
LAT,1314000.0,29.3,0.8524477812076585,28.0,28.0,28.0,28.5,29.5,30.0,30.5,30.5,30.5
LON,1314000.0,76.45,0.7008925551457459,75.5,75.5,75.5,75.625,76.375,76.875,77.5,77.5,77.5
YEAR,1314000.0,2023.0005479452054,1.4144077090603981,2021.0,2021.0,2021.0,2022.0,2023.0,2024.0,2025.0,2025.0,2025.0
MO,1314000.0,6.52054794520548,3.4470949417222805,1.0,1.0,1.0,4.0,7.0,10.0,12.0,12.0,12.0
DY,1314000.0,15.719452054794521,8.794471079830407,1.0,1.0,2.0,8.0,16.0,23.0,29.0,31.0,31.0
HOUR,1314000.0,11.5,6.9221891864463805,0.0,0.0,1.0,5.75,11.5,17.25,22.0,23.0,23.0
ALLSKY_SFC_SW_DWN_HOURLY,1314000.0,0.19989197037615714,0.25681886785322516,0.0,0.0,0.0,0.0,0.00451277024998435,0.39725551825531535,0.7118671578449914,0.8325375132657374,1.021038241317784
ALLSKY_KT_HOURLY,1314000.0,-1.392201973943758,12.827391421247441,-153.28052923832766,-70.94498806259026,0.0,0.0,0.0,0.04361280135772827,0.07988215023760406,0.09389630389724318,0.1211616850795197
T2M_HOURLY,1314000.0,1.0353970375254549,0.92974974368448,0.0,0.0,0.0,0.0,0.9257872075295175,1.7770774733189558,2.652851440401585,3.069863488844056,3.63777862940792
WS10M_HOURLY,1314000.0,0.11766936699368655,0.12387768695367916,0.0,0.0,0.0,0.0,0.0919661090402249,0.2019674236870479,0.3458459882558249,0.4685047554959754,0.8696790916437604
solar_kwh,1314000.0,175.40520400507788,225.358556541205,0.0,0.0,0.0,0.0,3.959955894361332,348.59171726903924,624.6634310089801,730.5516678906845,895.9610567563554
